state,county,Elderly_pop,Percent_Elderly_pop,NON_WHITE,Percent_NON_White,NUM_ICU_BEDS,Num_ICU_BEDS_per_10000,lat,lon,percent_smokers,percent_adults_with_obesity,percent_uninsured,percent_adults_with_diabetes,percent_below_poverty,percent_rural,POP_DENSITY,POP_TOTAL,Positive_Cases,Deaths,Positive_Cases_Rate,Deaths_Rate,IECC_Climate_Zone,IECC_Moisture_Regime,BA_Climate_Zone,Cold,Hot_Dry,Hot_Humid,Marine,Mixed_Dry,Mixed_Humid,Subarctic,Very_Cold,Positive_Case_Rate_NORM,Death_Rate_NORM,cluster_3
Alabama,Autauga,8924,15.97,13262,23.74,6,1.073940826,32.534928,-86.642748,18.08155718,33.3,8.721685951,11.1,12.3,42.00216232,93.98496875,55869,3186,42,0.057026258,0.000751759,3,A,Hot_Humid,0,0,1,0,0,0,0,0,0.12188086,-0.23192153,2
Alabama,Baldwin,46830,20.98,28036,12.56,51,2.284598224,30.727489,-87.722575,17.4890326,31,11.33340447,10.7,13,42.27909911,140.4157488,223234,10288,141,0.04608617,0.000631624,2,A,Hot_Humid,0,0,1,0,0,0,0,0,-0.298839075,-0.37775121,3
Alabama,Barbour,4861,19.69,12552,50.85,5,2.02543952,31.8695888,-85.393213,21.99998453,41.7,12.24279246,17.6,26.4,67.7896347,27.8977012,24686,1258,30,0.050960058,0.001215264,3,A,Hot_Humid,0,0,1,0,0,0,0,0,-0.111405291,0.330721863,2
Alabama,Bibb,3733,16.67,5203,23.23,4,1.78619273,32.9986342,-87.12648,19.11419989,37.6,10.20625259,14.5,16.5,68.35260746,35.96953853,22394,1359,40,0.060685898,0.001786193,3,A,Mixed_Humid,0,0,0,0,0,1,0,0,0.262618626,1.023765836,2
Alabama,Blount,10814,18.7,2414,4.17,6,1.037595545,33.9808782,-86.567383,19.20867197,33.8,13.36075949,17,16.5,89.95150204,89.67961595,57826,3600,47,0.062255733,0.000812783,3,A,Mixed_Humid,0,0,0,0,0,1,0,0,0.322989324,-0.157844492,2
Alabama,Bullock,1711,16.94,7412,73.38,5,4.95000495,32.1005344,-85.715686,22.89466401,37.2,11.44037612,23.7,26.9,51.37438153,16.21855025,10101,722,20,0.071478071,0.001980002,3,A,Hot_Humid,0,0,1,0,0,0,0,0,0.677650246,1.259028589,1
Alabama,Butler,4049,20.82,9321,47.93,7,3.599341835,31.7524178,-86.680303,21.76533496,43.3,11.18600954,19.2,25.7,71.23215735,25.0351414,19448,1287,42,0.066176471,0.002159605,3,A,Hot_Humid,0,0,1,0,0,0,0,0,0.473768052,1.47704669,1
Alabama,Calhoun,20547,18.09,28283,24.9,30,2.640728841,33.7714365,-85.826035,20.61256038,38.5,11.92916752,17.5,19.6,33.69682556,187.5014045,113605,7534,129,0.066317504,0.001135513,3,A,Mixed_Humid,0,0,0,0,0,1,0,0,0.47919172,0.233913905,2
Alabama,Chambers,6715,20.19,14284,42.95,15,4.510735551,32.9143529,-85.392033,19.39292705,40.1,11.93807681,19.9,20.3,49.14803449,55.74562559,33254,1977,55,0.059451495,0.001653936,3,A,Mixed_Humid,0,0,0,0,0,1,0,0,0.215147515,0.863221405,2
Alabama,Cherokee,6164,23.53,1787,6.82,8,3.053901359,34.175926,-85.6038,17.49867379,35,11.17264992,15.2,16.4,85.73627304,47.30913484,26196,1149,24,0.043861658,0.00091617,3,A,Mixed_Humid,0,0,0,0,0,1,0,0,-0.384386492,-0.032343957,3
Alabama,Chilton,7600,17.11,5751,12.94,6,1.350499685,32.84787,-86.718804,20.18897906,37.7,13.75970587,18.6,20.3,86.74472424,64.12322975,44428,2507,47,0.056428379,0.001057891,3,A,Mixed_Humid,0,0,0,0,0,1,0,0,0.09888838,0.139689501,2
Alabama,Choctaw,2969,23.58,5398,42.88,4,3.177377075,32.0197775,-88.263185,18.79324829,41.3,11.34207871,17.4,21,100,13.78106216,12589,444,20,0.035268886,0.001588689,3,A,Hot_Humid,0,0,1,0,0,0,0,0,-0.714836368,0.784017835,3
Alabama,Clarke,4843,20.5,11104,47.01,10,4.2333418,31.6766821,-87.830814,20.57965532,34.1,11.92636629,22.4,24.6,75.98033523,19.07362083,23622,1755,23,0.074295149,0.000973669,3,A,Hot_Humid,0,0,1,0,0,0,0,0,0.785985798,0.037452435,2
Alabama,Clay,2785,21.04,2220,16.77,4,3.022289384,33.2690306,-85.860583,19.62035415,40.6,13.88333809,13.5,16.7,100,21.91366656,13235,991,27,0.074877219,0.002040045,3,A,Mixed_Humid,0,0,0,0,0,1,0,0,0.808370338,1.331914505,1
Alabama,Cleburne,3008,20.17,734,4.92,0,0,33.6745196,-85.518814,18.37446577,37.3,13.34452371,12.5,19.6,100,26.62004445,14910,858,14,0.057545272,0.000938967,3,A,Mixed_Humid,0,0,0,0,0,1,0,0,0.141840429,-0.004671278,2
Alabama,Coffee,9031,17.25,12673,24.21,7,1.337358145,31.4026523,-85.988159,17.44475759,34.2,11.99236659,16.1,16.4,47.19508289,77.08852149,52342,2821,25,0.053895533,0.000477628,3,A,Hot_Humid,0,0,1,0,0,0,0,0,0.001483452,-0.564685502,3
