County,State,Positive_Cases,Deaths,Elderly_pop,Young_pop,WHITE,NON_WHITE,NUM_STAFFED_BEDS,NUM_ICU_BEDS,lat,lon,percent_smokers,percent_adults_with_obesity,percent_uninsured,eightieth_percentile_income,twentieth_percentile_income,percent_adults_with_diabetes,percent_below_poverty,area_sqmi,percent_rural,POP_TOTAL,POP_DENSITY,Positive_Case_Rate,Death_Rate,min_temp,max_temp,mean_temp,wind_speed,precipitation,station_pressure,dewpoint,Positive_Case_Rate_NORM,Death_Rate_NORM,cluster_3,cluster_5
Abbeville,South Carolina,662,15,5483,19044,17223,7304,25,6,34.2225559,-82.458754,17.32351901,36.7,12.90460879,75000,14370,15.8,21.6,490.4822413,78.57733013,24527,50.00588795,0.026990663,0.000611571,45.68333333,90.75806452,69.97635472,4.677006972,0.167563275,898.0986459,62.1603403,0.39489599,0.245653013,2,3
Acadia,Louisiana,3004,99,9796,52249,49435,12610,144,7,30.2905454,-92.411993,21.53408807,38.4,10.66580723,95846,16512,11.4,20.6,655.1292844,51.69896233,62045,94.7064976,0.048416472,0.001595616,59.84666667,92.63225806,77.03769585,5.333302611,0.190817204,13.3528725,67.28460829,1.805766634,1.88184234,3,5
Accomack,Virginia,1188,19,7934,24382,21899,10417,46,10,37.76343634,-75.63031843,18.31692932,36.3,16.64911286,84337,20271,15.9,19.5,449.3074654,100,32316,71.92402194,0.036761975,0.000587944,45.01666667,89.60645161,67.91953387,6.623371206,0.075634275,19.10071164,54.54283145,1.038328276,0.206367975,2,3
Ada,Idaho,13886,153,71958,409629,442550,39037,1240,97,43.4510984,-116.24117,11.99070066,25.6,8.743291765,119044,26584,7.9,12.2,1052.518764,5.47220063,481587,457.5566883,0.028833835,0.0003177,33.4,94.56774194,63.66476837,6.399353222,0.041101787,914.3639599,37.79447166,0.516267243,-0.242971586,2,3
Adair,Iowa,85,1,1648,5504,6966,186,25,4,41.3307507,-94.470979,15.58357139,31.5,5.462571271,94522,25029,12,9.7,569.27041,100,7152,12.56344942,0.011884787,0.000139821,37.04,86,62.2903533,8.698955453,0.095547168,968.7890476,54.67634144,-0.599812634,-0.538734199,1,4
Adair,Kentucky,369,19,3695,15507,18210,992,0,0,37.1041718,-85.280637,22.6199734,40.9,6.746059062,73694,15461,17.5,23.3,405.2828114,75.4556175,19202,47.37926075,0.019216748,0.00098948,44.73846154,88.90322581,66.4712704,3.907341481,0.1474126,834.4871507,56.54195161,-0.117009463,0.874009107,2,3
Adair,Missouri,394,0,3829,21514,23198,2145,51,10,40.1905948,-92.600715,20.52884319,27.9,10.60246053,84459,12984,8.4,26,567.3236274,37.85293084,25343,44.67115201,0.015546699,0,38.89,88.02258065,63.89777778,6.96093702,0.137420891,980.4272709,54.59835637,-0.358678955,-0.771217092,1,4
Adair,Oklahoma,666,10,3515,18679,9336,12858,30,5,35.8839169,-94.658667,27.74440862,47.7,24.53513247,72257,13973,24.3,30.1,573.4792558,83.29586034,22194,38.70061519,0.03000811,0.000450572,44.36,92.44516129,68.57009217,3.746929998,0.104303558,983.7645644,58.7879131,0.593592217,-0.022042921,2,3
Adams,Colorado,10143,233,55528,461893,443528,73893,1613,232,39.8736348,-104.33778,16.32460543,27.8,11.02655117,120072,32226,7.7,12.9,1167.291182,3.620446419,517421,443.2664343,0.019602993,0.00045031,28.245,95.28709677,62.31387865,8.848218126,0.030609831,833.4398771,37.17476959,-0.09157557,-0.022478553,1,3
Adams,Idaho,29,2,1284,3010,4050,244,0,0,44.889598,-116.45384,14.35193203,30.5,14.38309475,83403,22656,7.9,14.6,1362.804541,100,4294,3.150855365,0.00675361,0.000465766,24.09333333,84.30645161,51.41049155,4.179723502,0.142330261,845.6372965,34.69768049,-0.937696118,0.003220417,1,4
Adams,Illinois,1298,11,13513,51922,60698,4737,248,25,39.9878781,-91.188535,15.45718712,36.6,5.236587005,97200,23003,11,12.9,855.20523,32.59913864,65435,76.51379775,0.019836479,0.000168106,38.60833333,87.30967742,64.16729647,7.333832565,0.134725806,975.8322273,53.48682796,-0.076200722,-0.491704221,1,4
Adams,Indiana,343,5,5681,30096,34995,782,25,4,40.7456352,-84.936617,20.45444489,34.8,11.62389695,88993,23297,9.7,18,339.0282442,53.67435368,35777,105.528081,0.009587165,0.000139755,32.62272727,89.48387097,61.61029605,7.046418098,0.114049714,966.8840707,51.0655886,-0.751109018,-0.538843939,1,4
Adams,Iowa,49,0,852,2750,3509,93,22,4,41.0289822,-94.699179,15.63671211,29.9,6.194375223,89633,25377,14.2,9.8,423.4383642,100,3602,8.506550905,0.013603554,0,35.48657806,86,62.98078972,8.353197778,0.095547168,967.0897788,55.19280582,-0.486633342,-0.771217092,1,4
Adams,Mississippi,978,40,6005,24688,13631,17062,147,15,31.4828956,-91.353547,22.20616181,35.3,14.97984578,66516,10663,13.2,30.4,462.3433488,37.22636777,30693,66.38572844,0.031863943,0.001303229,51.49,90.84516129,73.84260917,4.987642089,0.179530938,48.51373528,66.18710336,0.715797184,1.395685215,2,5
Adams,Nebraska,617,12,5916,25447,29702,1661,127,10,40.5244832,-98.501218,14.59706455,36.7,8.760330579,99403,23079,11,11.2,563.2722742,22.48437699,31363,55.6799996,0.019672863,0.000382616,34.95666667,89.98666667,63.76879087,8.887719991,0.064746544,945.6811192,50.31125302,-0.086974692,-0.135034584,1,3
Adams,North Dakota,28,0,632,1584,2077,139,25,4,46.0968451,-102.5285,14.96579774,30.2,10.0591716,112156,19370,12.5,10.5,987.6337063,100,2216,2.243746832,0.012635379,0,27.79269971,87.775,56.77168132,8.477607344,0.038004632,939.341957,42.65009107,-0.550386812,-0.771217092,1,4
Adams,Ohio,160,4,5112,22586,26885,813,25,4,38.845623,-83.472034,24.28219203,32.2,9.061904551,83337,14832,16.1,24.5,583.866895,89.0262697,27698,47.43889444,0.00577659,0.000144415,39.8141725,90.43870968,64.17631124,5.406478848,0.145559251,962.204647,55.19875892,-1.002032024,-0.531095673,1,4
Adams,Pennsylvania,897,26,21730,81279,97972,5037,76,8,39.8715002,-77.217878,16.21508389,35.6,7.492933576,113731,30259,8.5,9.4,518.6873855,53.67578175,103009,198.5955373,0.008707977,0.000252405,36.67666667,90.88709677,63.30791091,4.259569892,0.123355058,609.0855321,51.76902787,-0.809002773,-0.351538757,1,4
Adams,Washington,878,10,2264,17719,17682,2301,28,5,46.98339201,-118.5606117,14.33154142,36.9,12.67296158,91711,21446,10.3,23,1924.974601,40.15912003,19983,10.38091619,0.043937347,0.000500425,33.9,93.22903226,64.83905786,6.668991295,0.016796011,970.9826933,38.89577061,1.5108202,0.060848559,2,3
Adams,Wisconsin,299,4,6098,14122,18965,1255,25,4,43.96954174,-89.77039461,16.44073681,30.2,7.863867881,81388,20527,17.4,12.7,645.6168836,100,20220,31.31888356,0.014787339,0.000197824,31.63660657,84.08064516,58.30193299,5.877574854,0.155080347,959.8898231,47.30680614,-0.408682142,-0.442291568,1,4
Addison,Vermont,111,2,7598,29179,34741,2036,25,4,44.0309185,-73.140828,13.03021651,25.5,6.215849499,115250,30236,9,8.7,766.3276658,78.43078678,36777,47.99122052,0.003018191,5.44E-05,24.43333333,85.46451613,57.05437898,3.984581962,0.09185045,757.1181895,45.37262783,-1.183670168,-0.680765233,1,4
